"author_name","pub_count"
Lajos Hanzo,472
Mohamed-Slim Alouini,312
Victor C. M. Leung,259
Mohsen Guizani,246
Xuemin Shen,243
Zhu Han,239
MengChu Zhou,213
H. Vincent Poor,210
David Alan Grier,202
Kang G. Shin,189
Robert Schober,178
Xuelong Li,178
Josep M. Guerrero,169
Khaled Ben Letaief,152
Liangpei Zhang,150
Ekram Hossain,149
Licheng Jiao,149
Jie Wu 0001,147
Yuguang Fang,147
Albert Y. Zomaya,146
Dusit Niyato,146
Lorenzo Bruzzone,144
Xiang-Gen Xia,144
Robert W. Heath Jr.,143
Zhiguo Ding 0001,140
Peng Shi 0001,137
F. Richard Yu,134
Hsiao-Hwa Chen,133
Yunhao Liu,133
Song Guo 0001,132
Richard H. Stern,125
Sheng Chen 0001,123
Xin Yao 0001,122
Frede Blaabjerg,120
Weihua Zhuang,120
Xiaodong Wang 0001,119
Athanasios V. Vasilakos,118
David B. Lomet,117
Ying-Chang Liang,117
Fei-Yue Wang 0001,116
Laurence T. Yang,116
Linda Dailey Paulson,116
Andreas F. Molisch,115
Geoffrey Ye Li,114
Zheng Bao,114
Zidong Wang,111
Mengdao Xing,110
Chau Yuen,109
Dong In Kim,107
Jiannong Cao,107
